orderID,price,quantity,type,side,fullyFilled
71,74192,319,1,0,1
73,74192,319,1,1,0
61,74189,40,1,0,1
73,74189,40,1,1,0
29,74188,75,1,0,1
73,74188,75,1,1,0
29,74188,34,1,0,0
73,74188,34,1,1,1
29,74188,336,1,0,1
61,74188,336,1,1,0
45,74188,136,1,0,0
61,74188,136,1,1,1
15,74213,290,0,1,1
27,74214,258,0,1,1
13,74212,384,0,1,1
80,74191,161,1,0,0
88,74191,161,1,1,1
80,74191,221,1,0,1
88,74191,221,1,1,0
27,74191,196,1,0,1
88,74191,196,1,1,0
87,74190,40,1,0,0
88,74190,40,1,1,1
29,74182,207,0,0,1
87,74190,82,1,0,1
29,74190,82,1,1,0
45,74188,112,1,0,1
29,74188,112,1,1,0
43,74188,182,1,0,0
29,74188,182,1,1,1
29,0,0,1,1,1
55,74213,328,0,1,1
68,74211,200,1,1,0
29,74211,200,1,0,1
42,74213,183,0,1,1
63,74217,201,0,1,1
91,74205,107,1,1,1
63,74205,107,1,0,0
29,74208,6,1,1,0
63,74208,6,1,0,1
29,74208,104,1,1,1
91,74208,104,1,0,0
68,74211,187,1,1,1
91,74211,187,1,0,0
70,74211,17,1,1,0
91,74211,17,1,0,1
27,74190,395,1,0,1
91,74190,395,1,1,0
45,74189,49,1,0,0
91,74189,49,1,1,1
91,0,0,1,1,1
45,74189,154,1,0,1
91,74189,154,1,1,0
88,74189,104,1,0,0
91,74189,104,1,1,1
91,0,0,1,1,1
45,74206,211,1,1,1
91,74206,211,1,0,0
70,74211,131,1,1,1
91,74211,131,1,0,0
29,74211,19,1,1,0
91,74211,19,1,0,1
31,74214,349,0,1,1
41,74172,127,0,0,1
68,74210,298,1,1,1
95,74210,298,1,0,0
29,74211,48,1,1,0
95,74211,48,1,0,1
94,74209,422,1,0,1
97,74209,422,1,1,0
88,74189,69,1,0,0
97,74189,69,1,1,1
97,74214,438,0,1,1
36,74217,208,0,1,1
3,74221,424,0,1,1
36,74209,429,1,0,0
3,74209,429,1,1,1
6,74223,210,0,1,1
59,74221,335,0,1,1
29,74211,97,1,1,1
6,74211,97,1,0,0
75,74211,191,1,1,1
6,74211,191,1,0,0
55,74211,21,1,1,0
6,74211,21,1,0,1
30,74212,90,0,1,1
36,74209,23,1,0,1
29,74209,23,1,1,0
6,74191,361,1,0,1
29,74191,361,1,1,0
88,74189,35,1,0,0
29,74189,35,1,1,1
88,74189,145,1,0,1
29,74189,145,1,1,0
43,74188,143,1,0,0
29,74188,143,1,1,1
29,0,0,1,1,1
55,74211,239,1,1,0
29,74211,239,1,0,1
29,0,0,1,0,1
29,74189,278,1,1,0
99,74189,278,1,0,1
29,74189,53,1,1,1
99,74189,53,1,0,0
29,74191,234,1,1,0
99,74191,234,1,0,1
29,74191,16,1,1,1
101,74191,16,1,0,0
55,74211,45,1,1,1
101,74211,45,1,0,0
98,74211,428,1,1,0
101,74211,428,1,0,1
55,74198,199,1,0,0
29,74198,199,1,1,1
98,74211,37,1,1,1
104,74211,37,1,0,0
46,74212,265,1,1,1
104,74212,265,1,0,0
64,74212,129,1,1,0
104,74212,129,1,0,1
13,74213,276,0,1,1
106,74209,114,1,1,0
110,74209,114,1,0,1
55,74198,55,1,0,1
112,74198,55,1,1,0
104,74196,181,1,0,0
112,74196,181,1,1,1
106,74209,4,1,1,1
55,74209,4,1,0,0
64,74212,294,1,1,1
55,74212,294,1,0,0
66,74212,113,1,1,1
55,74212,113,1,0,0
76,74212,14,1,1,0
55,74212,14,1,0,1
66,74206,158,1,1,0
106,74206,158,1,0,1
66,74206,196,1,1,1
119,74206,196,1,0,0
106,74208,124,1,1,0
119,74208,124,1,0,1
22,74184,389,0,0,1
104,74196,244,1,0,1
135,74196,244,1,1,0
133,74196,155,1,0,0
135,74196,155,1,1,1
106,74208,52,1,1,1
136,74208,52,1,0,0
116,74210,241,1,1,1
136,74210,241,1,0,0
128,74210,112,1,1,0
136,74210,112,1,0,1
133,74196,103,1,0,1
139,74196,103,1,1,0
110,74195,337,1,0,1
139,74195,337,1,1,0
111,74195,4,1,0,0
139,74195,4,1,1,1
111,74195,466,1,0,1
